iter	Logloss
0	0.6741814806
1	0.6585075023
2	0.6433970618
3	0.6306181115
4	0.6195188737
5	0.6093425935
6	0.5999397098
7	0.5915746358
8	0.5834655875
9	0.576447528
10	0.5701150786
11	0.5643122371
12	0.5598393112
13	0.5544165725
14	0.5492145036
15	0.5442943926
16	0.5395807184
17	0.5361345112
18	0.5327007244
19	0.5287887132
20	0.5253399666
21	0.5227999964
22	0.5199851045
23	0.5174848948
24	0.5144633786
25	0.5114716208
26	0.5092281412
27	0.5062019959
28	0.5040697205
29	0.5014769871
30	0.4990076118
31	0.4974359389
32	0.4957634441
33	0.4940962832
34	0.4921171945
35	0.4906734439
36	0.4895317879
37	0.4879929697
38	0.4866903738
39	0.4852221272
40	0.483890679
41	0.4830648043
42	0.4821112038
43	0.4807733941
44	0.479446533
45	0.4783594755
46	0.4767554838
47	0.475997498
48	0.4750737406
49	0.4738952955
50	0.4728953494
51	0.4712677378
52	0.4704271382
53	0.4695163573
54	0.4688452466
55	0.4675643669
56	0.4669228722
57	0.465659681
58	0.465070128
59	0.4644942807
60	0.4638018487
61	0.4628859929
62	0.4623753827
63	0.461867087
64	0.4614394969
65	0.4609308276
66	0.4599560167
67	0.4594406041
68	0.4592398981
69	0.4579783951
70	0.4575215285
71	0.4568843686
72	0.4562504953
73	0.4557372518
74	0.4552479639
75	0.4548151714
76	0.4544731508
77	0.453577694
78	0.4526808102
79	0.4518881398
80	0.4510788677
81	0.4505341498
82	0.4498323484
83	0.4493472764
84	0.4484979113
85	0.4478485169
86	0.4476261744
87	0.4472870946
88	0.4466536211
89	0.4461847333
90	0.4458320613
91	0.4455223374
92	0.4450631261
93	0.4441276497
94	0.4434502412
95	0.4430391472
96	0.4424327972
97	0.4420548403
98	0.4415720028
99	0.4412499917
100	0.4410274457
101	0.4406005342
102	0.4403950677
103	0.4397265414
104	0.4393379741
105	0.4387887208
106	0.4383783508
107	0.4379475284
108	0.4374765699
109	0.4370114722
110	0.4365746973
111	0.4361308417
112	0.4359084347
113	0.4356815582
114	0.4352996256
115	0.4351261965
116	0.4345562806
117	0.4344275956
118	0.4341364972
119	0.4333512654
120	0.4329985925
121	0.4327923933
122	0.4320230748
123	0.4317092672
124	0.431205742
125	0.4309517388
126	0.4307615544
127	0.4304893423
128	0.4301404151
129	0.429813408
130	0.4293989032
131	0.4290968101
132	0.4289293897
133	0.4287219857
134	0.4284455792
135	0.4282471378
136	0.4280584136
137	0.42741897
138	0.4272703361
139	0.4270353197
140	0.4268610211
141	0.4267689073
142	0.4266354877
143	0.4262692539
144	0.4260718709
145	0.4259094194
146	0.425669243
147	0.4254753624
148	0.4251396578
149	0.4248140306
150	0.4246396951
151	0.4242492634
152	0.4239865875
153	0.4238134694
154	0.4235756422
155	0.4233409355
156	0.4227649636
157	0.4224752367
158	0.4222759447
159	0.4218375159
160	0.421577987
161	0.4213650303
162	0.4210278088
163	0.4207409605
164	0.420239427
165	0.4199380608
166	0.4196141454
167	0.4193656787
168	0.4191142301
169	0.4189485797
170	0.4187721276
171	0.4185425743
172	0.4182882292
173	0.4181606375
174	0.4179742004
175	0.4177224167
176	0.4175990917
177	0.4171856551
178	0.4168115998
179	0.4166333994
180	0.4163182332
181	0.4158149452
182	0.4154491244
183	0.4151199078
184	0.4148182946
185	0.4146605711
186	0.4145378423
187	0.4143269012
188	0.4139567055
189	0.4137391828
190	0.4135581407
191	0.413453524
192	0.4132837025
193	0.4128747608
194	0.4126646224
195	0.4124726512
196	0.4123290589
197	0.4121086116
198	0.4119008506
199	0.4117393462
200	0.411571437
201	0.4114272165
202	0.4111471314
203	0.4108643963
204	0.4104948009
205	0.4102606088
206	0.410039799
207	0.409787431
208	0.4094975414
209	0.4093133917
210	0.4091431609
211	0.4089099846
212	0.4085649913
213	0.4082979049
214	0.4081235559
215	0.4079721654
216	0.4077891451
217	0.4076233133
218	0.4072068899
219	0.4070481862
220	0.4068933372
221	0.4066469125
222	0.4062352036
223	0.40605456
224	0.4058155831
225	0.405559016
226	0.4053716884
227	0.4052346057
228	0.4050207359
229	0.4048447554
230	0.4047211053
231	0.40448776
232	0.4042403986
233	0.4039432799
234	0.4036952
235	0.4033467836
236	0.4030710869
237	0.4029037788
238	0.4025592743
239	0.402393519
240	0.4020909682
241	0.4019128555
242	0.4016225942
243	0.4013920214
244	0.401135357
245	0.4009421178
246	0.4006317045
247	0.4004653835
248	0.4003170404
249	0.3999676464
250	0.3997405165
251	0.3995646155
252	0.3993723099
253	0.3992490983
254	0.3991138015
255	0.3989315447
256	0.3987676282
257	0.3985917093
258	0.3984046191
259	0.3982135458
260	0.3979974795
261	0.3978235146
262	0.3975615848
263	0.3972763433
264	0.3970087871
265	0.3968281459
266	0.3966395134
267	0.3963928978
268	0.3962866484
269	0.3961331137
270	0.3959466758
271	0.39577645
272	0.3956448306
273	0.3954014873
274	0.3951991799
275	0.3950126728
276	0.3948428741
277	0.3947005691
278	0.3945744932
279	0.3943689445
280	0.3941129223
281	0.3939161649
282	0.3937129316
283	0.3935306422
284	0.393342803
285	0.3931462711
286	0.3928571047
287	0.3926417758
288	0.3924870052
289	0.3923375636
290	0.3920384922
291	0.3918895761
292	0.3917110144
293	0.3915353385
294	0.3914314262
295	0.391170165
296	0.3909515546
297	0.3907836614
298	0.3906965849
299	0.3905084505
300	0.3903843906
301	0.390199281
302	0.3899737337
303	0.3898104962
304	0.3896081437
305	0.3895010965
306	0.3893386489
307	0.3891379334
308	0.3889172644
309	0.3887593972
310	0.3885725951
311	0.3884217585
312	0.3881653256
313	0.3879963894
314	0.3877528874
315	0.3876336966
316	0.3872971489
317	0.3871674984
318	0.3868423371
319	0.3867252143
320	0.3865954252
321	0.3863484504
322	0.3861658857
323	0.3860059397
324	0.3858219462
325	0.3857020563
326	0.3855600207
327	0.3854368988
328	0.3852027573
329	0.3850633971
330	0.3848659355
331	0.3846966161
332	0.3843780327
333	0.3841634055
334	0.3838789281
335	0.3837498151
336	0.3835715169
337	0.383281628
338	0.3829863364
339	0.382745354
340	0.3826101914
341	0.3824596793
342	0.3822735839
343	0.3820680222
344	0.3818226926
345	0.3816335945
346	0.3814400859
347	0.3813001868
348	0.3810482442
349	0.3808870047
350	0.38075498
351	0.3805592871
352	0.3803845177
353	0.3801681894
354	0.3800191032
355	0.3798728557
356	0.3797490229
357	0.3796236344
358	0.3794629059
359	0.3792770058
360	0.3791771932
361	0.3790136589
362	0.3788078638
363	0.3786155764
364	0.3781573361
365	0.3780261245
366	0.3778876112
367	0.37772302
368	0.3775866568
369	0.3774264469
370	0.3772312331
371	0.3770219881
372	0.3768354082
373	0.3767194886
374	0.3765711407
375	0.376325505
376	0.3761409639
377	0.3760154474
378	0.3758948112
379	0.3757790604
380	0.3756418116
381	0.3754959902
382	0.3753291356
383	0.3752383573
384	0.3750688836
385	0.3749745278
386	0.3748669593
387	0.3747190288
388	0.3745314592
389	0.3743031668
390	0.3741862106
391	0.3739882425
392	0.3738703843
393	0.3737281914
394	0.3735408087
395	0.3733688278
396	0.3732446418
397	0.3730857146
398	0.3728341272
399	0.3726460254
