,erro_mag,erro_comb
≈0 (<1),22.2276502198339,
pequena (1-3),13.456632653061224,
média (3-7),14.19284940411701,
grande (>7),14.146772767462423,
Biodiesel B15,,4.231625835189309
Gasolina especial 95,,11.190965092402463
Gasóleo especial,,12.217659137577003
Gasolina especial 98,,15.811088295687886
Gasóleo simples,,18.37782340862423
Gasolina simples 95,,18.8911704312115
GPL Auto,,29.876796714579058
Gasolina 98,,34.70225872689938
