tarefa,modelo,metrica_principal,f1
Classificação 1 dia (sobe/desce),Random Forest,0.793286677034733,0.7392512669609286
Classificação 1 dia (sobe/desce),XGBoost,0.8195956454121306,0.7735849056603774
Classificação 1 dia (sobe/desce),LightGBM,0.8208916537065837,0.7780989081567117
Regressão delta,Random Forest,0.755656108597285,0.3784730829119798
Regressão delta,XGBoost,0.6953242835595776,0.04364787554164096
Regressão delta,LightGBM,0.6811463046757165,-0.15827238672893573
Direção a 7 dias,Random Forest,0.6890975482524778,0.6901481674031713
Direção a 7 dias,XGBoost,0.6743609806990088,0.6708844075392119
Direção a 7 dias,LightGBM,0.6727960354720918,0.6693027547120074
